method,avg_mae
PerCluster_Smooth3,3.185936450958252
Refined_Blend_Smooth3,3.1894397735595703
PerCluster_Blend,3.19055438041687
Mega_Top4_Smooth3,3.192237138748169
Refined_Blend_6Methods,3.1950466632843018
Mega_Top4_Avg,3.195516586303711
PerCluster_Smooth5,3.199354887008667
Refined_Blend_Smooth5,3.2022340297698975
Combined_Cluster+Hol+Sm3,3.202669858932495
Previous_Best_Blend,3.210184335708618
PerCluster+Holiday,3.2134933471679688
Combined_Cluster+Hol+Sm5,3.2137787342071533
Refined_Blend+Holiday,3.217097759246826
ExpWeighted_DOW,3.2633204460144043
Monthly_DOW_Profile,3.2811191082000732
Weekly_Naive,3.2936344146728516
HalfMonth_DOW,3.466508150100708
DOW_Matched,3.745573043823242
Seasonal_Naive,3.8601438999176025
